long,lat,AFFGEOID,NAME,STATEFP,miles,miles_roe,miles_strict,geoid,B01001026,B17001017,B17001046,pct_women_in_poverty,women_wo_ins,B27001030,pct_women_wo_insurance
-83.58049102429588,30.84221340005004,0500000US13027,Brooks,13,331.92173313000694,47.31165476123252,47.31165476123252,05000US13027,8035,1986,6010,0.24837418709354678,996,8009,0.1243600948932451
-81.34135177991274,32.367286268392455,0500000US13103,Effingham,13,191.938181496426,25.57162693564366,143.67812329790328,05000US13103,31404,2605,28520,0.08369477911646586,2944,31321,0.09399444462181923
-84.46699086353769,33.79028193604072,0500000US13121,Fulton,13,164.616924642537,4.238328794023762,164.616924642537,05000US13121,542562,75999,452891,0.14369528635444043,50370,540567,0.09317993884199369
-83.00067258780797,33.270451371523826,0500000US13141,Hancock,13,161.2764309460447,54.33006006464948,161.2764309460447,05000US13141,3586,1080,2430,0.3076923076923077,507,3510,0.14444444444444443
-85.12833608220319,33.297039418468756,0500000US13149,Heard,13,215.38432108007197,42.96867453427394,201.4968360538127,05000US13149,5969,1282,4572,0.21899555859241543,648,5898,0.10986775178026449
-81.49472957069314,31.828090427992755,0500000US13179,Liberty,13,229.9995822548416,27.084635719390235,105.89237677830047,05000US13179,30723,5506,24935,0.18087447849939225,2398,29814,0.08043201180653384
-81.74569516699583,31.75255520072729,0500000US13183,Long,13,237.76598772640085,42.55639075355463,100.87180313481664,05000US13183,9545,2558,6857,0.2716941051513542,1085,9416,0.11522939677145284
-82.48136661389236,33.4828616393204,0500000US13189,McDuffie,13,144.66272983326866,22.187477034821715,144.66272983326866,05000US13189,11521,2350,9105,0.20515058926233087,1375,11432,0.12027641707487753
-82.53477358043764,32.17339368057639,0500000US13209,Montgomery,13,224.6901774629687,84.63064680235489,140.81495375764996,05000US13209,4515,889,3439,0.20540665434380775,798,4473,0.1784037558685446
-82.21276281185969,31.358769607144875,0500000US13229,Pierce,13,270.80126527683177,80.24039718051093,81.90663135102915,05000US13229,9660,1850,7773,0.19224773979008625,1621,9623,0.1684505871349891
-82.05812943059163,32.04579765481412,0500000US13267,Tattnall,13,222.85231276610753,56.361369064301776,123.7148021837319,05000US13267,10456,2687,7681,0.25916280864197533,1640,10370,0.15814850530376084
-82.9390113743665,31.929805870649005,0500000US13271,Telfair,13,250.23959316936129,108.3790141101039,127.3301307174702,05000US13271,6514,1844,4547,0.28853074636207166,622,6393,0.09729391521977163
-83.99071662664385,34.83408734941367,0500000US13291,Union,13,96.23159977213638,57.27258360289844,96.23159977213638,05000US13291,12424,2072,10183,0.16907384740922074,1337,12255,0.10909832721338229
-81.9167249088038,31.551447524697412,0500000US13305,Wayne,13,253.4950662083992,58.30597898080853,88.65982750892398,05000US13305,14864,2730,11971,0.185701652948779,2262,14711,0.15376249065325268
-83.1712380761466,32.802381924864605,0500000US13319,Wilkinson,13,194.7375375206039,78.12554699993865,173.38691863772567,05000US13319,4731,1226,3436,0.262977262977263,473,4678,0.10111158614792647
-159.52362082626502,22.0583548173092,0500000US15007,Kauai,15,118.92415099382237,118.92415099382237,118.92415099382237,05000US15007,36314,2950,33061,0.08191941351253784,1587,36094,0.04396852662492381
-115.7303631920364,43.98913016814432,0500000US16015,Boise,16,191.3574146426437,34.78595499902889,191.3574146426437,05000US16015,3777,580,3176,0.154419595314164,526,3753,0.14015454303224087
-113.1720673720417,43.72291218702976,0500000US16023,Butte,16,284.4551376186773,103.81044988116015,185.3456966323363,05000US16023,1199,273,896,0.23353293413173654,89,1169,0.07613344739093242
-114.80576739990926,43.463329369707054,0500000US16025,Camas,16,249.2952520507579,64.80146412867377,238.6029219732291,05000US16025,573,71,502,0.12390924956369982,62,573,0.1082024432809773
-116.70931258989572,43.625136865866,0500000US16027,Canyon,16,185.88290784539333,17.22607972249436,185.88290784539333,05000US16027,112760,14587,96783,0.1309778216754961,14055,112266,0.12519373630484742
-114.28172809828064,44.241125906267385,0500000US16037,Custer,16,221.3666481587214,104.7414956663649,182.11552977057156,05000US16037,2076,360,1708,0.17408123791102514,143,2076,0.06888246628131021
-115.46929719652444,43.35395514302236,0500000US16039,Elmore,16,233.86987190975495,40.46739214480665,233.86987190975495,05000US16039,12858,1865,10792,0.1473492928814095,1499,12095,0.1239355105415461
-111.48194033820953,44.228791728265776,0500000US16043,Fremont,16,325.6397918783906,62.82960484416317,108.5315814371118,05000US16043,6293,1047,5182,0.16808476480976078,844,6252,0.13499680102367242
-116.4263150573161,46.23700097035544,0500000US16061,Lewis,16,48.818664590963145,48.818664590963145,48.818664590963145,05000US16061,1956,313,1628,0.16125708397733127,257,1945,0.13213367609254498
-114.13827390353056,43.00237269630867,0500000US16063,Lincoln,16,295.5433044079945,35.03571116670573,254.90889004414063,05000US16063,2519,269,2211,0.10846774193548388,506,2485,0.20362173038229375
-115.56633740391771,44.76660705694638,0500000US16085,Valley,16,155.55946565071045,84.16345129621828,155.55946565071045,05000US16085,5542,577,4898,0.10538812785388128,823,5505,0.1495004541326067
-94.24234882925788,41.02772802215398,0500000US19175,Union,19,133.41854239529764,6.8354017680420505,87.18904941089022,05000US19175,6318,871,5306,0.14100696130807835,460,6241,0.07370613683704534
-98.2047604806648,38.69663853395411,0500000US20053,Ellsworth,20,84.59592716781832,84.59592716781832,84.59592716781832,05000US20053,2645,237,2319,0.09272300469483569,202,2587,0.0780827212988017
-98.136335867086,37.55889837960361,0500000US20095,Kingman,20,46.26467592385222,46.26467592385222,46.26467592385222,05000US20095,3591,233,3264,0.06662853874749786,168,3497,0.04804117815270231
-99.91615277252411,38.47942841030912,0500000US20135,Ness,20,152.0400698931265,152.0400698931265,152.0400698931265,05000US20135,1423,184,1211,0.13189964157706094,105,1402,0.07489300998573467
-101.76361597288935,38.91668120805294,0500000US20199,Wallace,20,166.26955994072742,166.26955994072742,166.26955994072742,05000US20199,793,113,661,0.14599483204134367,27,774,0.03488372093023256
-101.35738391012478,34.96494291713638,0500000US48011,Armstrong,48,264.4244383801571,214.75244069484975,264.4244383801571,05000US48011,1058,80,931,0.0791295746785361,75,1027,0.0730282375851996
-97.74116665717888,28.417371486979057,0500000US48025,Bee,48,581.7773574130654,48.432121784470354,581.7773574130654,05000US48025,12644,3035,9415,0.24377510040160644,2358,12531,0.1881733301412497
